Image,Caption
./input/test/1055623002_8195a43714.jpg,a young boy is jumping on bed
./input/test/107318069_e9f2ef32de.jpg,a group of people are riding the air in the air
./input/test/108898978_7713be88fc.jpg,a man in red jacket is standing in the snow
./input/test/1089181217_ee1167f7af.jpg,a dog is running through the grass
./input/test/109260216_85b0be5378.jpg,a man is climbing
./input/test/1104133405_c04a00707f.jpg,a young girl in red shirt is running in the air
./input/test/111497985_38e9f88856.jpg,a man is climbing rock rock
./input/test/1119418776_58e4b93eac.jpg,a dog running through field
./input/test/1122944218_8eb3607403.jpg,a little girl is playing in the grass
./input/test/1130401779_8c30182e3e.jpg,a brown dog is running through the water
./input/test/1138784872_69ade3f2ab.jpg,a woman in red shirt is standing in front of the street
./input/test/1160034462_16b38174fe.jpg,a man in black shirt and black shirt and black shirt and black shirt and black shirt and black and white shirt and black and white shirt and black and white and white and
./input/test/1167908324_8caab45e15.jpg,a man in red and white and white and white and white and white and red and red and red and red and red and white and red and white and white and white
./input/test/1207159468_425b902bfb.jpg,a man is standing on the top of the top of the top of the top of the top of the snow
./input/test/1235580648_7eebaed9bc.jpg,a man in red shirt is wearing red shirt and white shirt
./input/test/123997871_6a9ca987b1.jpg,a man in red uniform is running in the air
./input/test/1240297429_c36ae0c58f.jpg,a dog is running through the grass
./input/test/1248734482_3038218f3b.jpg,a girl in pink shirt is wearing pink shirt
./input/test/1267711451_e2a754b4f8.jpg,a black dog is running through the grass
./input/test/1271960365_e54033f883.jpg,two dogs are playing in the water
./input/test/1273001772_1585562051.jpg,a group of girls are standing in the air in the air
./input/test/1287073593_f3d2a62455.jpg,a man in black jacket is pulling sled in the snow
./input/test/1296770308_3db2022f5a.jpg,a group of people are playing in the air
./input/test/1309330801_aeeb23f1ee.jpg,a girl is jumping on trampoline
./input/test/1348891916_ebd4413033.jpg,a brown dog is running through the water
./input/test/1350948838_fdebe4ff65.jpg,a black dog swims in the water
./input/test/1351315701_6580b51c41.jpg,two dogs are running through the grass
./input/test/1355833561_9c43073eda.jpg,a woman in red shirt is walking through the sand
./input/test/136639119_6040b00946.jpg,a man is climbing rock climbing
./input/test/1378557186_4bd1da6834.jpg,a man in white shirt and white shirt and white shirt and white and white dog and white dog in the background
./input/test/1394368714_3bc7c19969.jpg,a man in red jacket and white jacket and white jacket and white dog and white dog are standing in the snow
./input/test/140377584_12bdbdf2f8.jpg,a man is running through the air
./input/test/1425013325_bff69bc9da.jpg,two dogs are running through the water
./input/test/1429546659_44cb09cbe2.jpg,a brown dog is running in the air
./input/test/143237785_93f81b3201.jpg,a man is holding the camera
./input/test/1433397131_8634fa6664.jpg,a boy is playing in the air with balls in the balls
./input/test/1452361926_6d8c535e32.jpg,a baby is sitting on the seat of the seat of the seat of the seat
./input/test/1459250022_bf1eddad11.jpg,a man in red and white and white and white and white and white and white and white and white and white and white and white and white and red and red and red
./input/test/1473250020_dc829a090f.jpg,a man is climbing rock rock
./input/test/1479124077_17dcc0d5d7.jpg,a boy is jumping in the air
./input/test/1499554025_a8ffe0e479.jpg,two dogs are standing in the air
./input/test/1510078253_96e9ec50e7.jpg,a brown dog is playing with ball
./input/test/1525153022_06c48dbe52.jpg,a black dog is running through the water
./input/test/1527513023_3d8152b379.jpg,a boy in blue shorts is playing in the water
./input/test/1529044279_4922ead27c.jpg,a group of people are playing in the air
./input/test/1579206585_5ca6a24db0.jpg,a man in black shirt is singing in the air
./input/test/1579287915_4257c54451.jpg,a man is climbing up rock
./input/test/1675679141_36c9bc2969.jpg,a man is standing on the water
./input/test/1713248047_d03721456d.jpg,two dogs are running through the grass
./input/test/1716445442_9cf3528342.jpg,a man is standing on the beach
./input/test/173020287_230bfc4ffc.jpg,a dog is jumping over the air
./input/test/1795151944_d69b82f942.jpg,two dogs are playing in the grass
./input/test/1797507760_384744fb34.jpg,a man in red shirt is standing on the rocks
./input/test/1798209205_77dbf525b0.jpg,a man in red shirt and white shirt and white shirt and white shirt and white shirt and white shirt and white shirt and blue shirt and blue shirt and blue shirt and blue
./input/test/1808370027_2088394eb4.jpg,a brown dog is running through the water
./input/test/1813266419_08bf66fe98.jpg,a boy in blue shirt is playing in the water
./input/test/181415975_2627aa6668.jpg,a man is riding on the air
./input/test/1827560917_c8d3c5627f.jpg,a black and white dog is running through the grass
./input/test/1897025969_0c41688fa6.jpg,a black dog is standing in the water
./input/test/2021671653_567395c7cf.jpg,a boy in blue shirt is running on the sidewalk
./input/test/2041867793_552819a40b.jpg,a man is sitting on the bed
./input/test/2049051050_20359a434a.jpg,a girl in red shirt is sitting on the beach
./input/test/2050067751_22d2763fd2.jpg,a girl in red shirt is playing in the air
./input/test/2053733930_e245615ad4.jpg,a man in red jacket is skiing down mountain
./input/test/2056930414_d2b0f1395a.jpg,a young boy in blue shirt is playing in the air
./input/test/2061144717_5b3a1864f0.jpg,a man is riding skateboard on the steps
./input/test/2067833088_04e84e5bf2.jpg,a man is riding bike on the hill
./input/test/2069279767_fb32bfb2de.jpg,a man in red shirt is standing on rock
./input/test/2070831523_5035d5537e.jpg,a woman in red shirt is riding bike in the street
